,Sentence #,Word,Tag
156,,47,first_side_street
157,,y,rw
158,,49,second_side_street
159,," , ",rw
160,,LOS,locality
161,,QUEMADOS,locality
162,," , ",rw
163,,MARIANAO,municipality
164,," , ",rw
165,,CIUDAD,province
166,,DE,province
167,,LA,province
168,,HABANA,province
169,Sentence 11,114,principal_street
170,,E\,rw
171,,49,first_side_street
172,,y,rw
173,,51,second_side_street
174,," , ",rw
175,,LOS,locality
176,,QUEMADOS,locality
177,," , ",rw
178,,MARIANAO,municipality
179,," , ",rw
180,,CIUDAD,province
181,,DE,province
182,,LA,province
183,,HABANA,province
184,Sentence 12,114,principal_street
185,,entre,rw
186,,calle,rw
187,,51,first_side_street
188,,y,rw
189,,59,second_side_street
190,," , ",rw
191,,LOS,locality
192,,QUEMADOS,locality
193,," , ",rw
194,,MARIANAO,municipality
195,," , ",rw
196,,CIUDAD,province
197,,DE,province
198,,LA,province
199,,HABANA,province
200,Sentence 13,114,principal_street
201,,ed.,rw
202,,C,building
203,,apartamento,rw
204,,41,apartment
205,,e/,rw
206,,Ave,rw
207,,59,first_side_street
208,,y,rw
209,,59,second_side_street
210,,A,second_side_street
211,," , ",rw
212,,LOS,locality
213,,QUEMADOS,locality
214,," , ",rw
215,,MARIANAO,municipality
216,," , ",rw
217,,CIUDAD,province
218,,DE,province
219,,LA,province
220,,HABANA,province
221,Sentence 14,calle,rw
222,,212,principal_street
223,,entre,rw
224,,REAL,first_side_street
225,,y,rw
226,,calle,rw
227,,263,second_side_street
228,," , ",rw
229,,rpt,rw
230,,MAZORRA,locality
231,," , ",rw
232,,BOYEROS,municipality
233,," , ",rw
234,,CIUDAD,province
235,,DE,province
236,,LA,province
237,,HABANA,province
238,Sentence 15,ca,rw
239,,212,principal_street
240,,edf.,rw
241,,83,building
242,,E/,rw
243,,417,first_side_street
244,,y,rw
245,,calle,rw
246,,21,second_side_street
247,," , ",rw
248,,LA,locality
249,,CATALINA,locality
250,," , ",rw
251,,BOYEROS,municipality
252,,CIUDAD,province
253,,DE,province
254,,LA,province
255,,HABANA,province
256,Sentence 16,212,principal_street
257,,e/c,rw
258,,417,first_side_street
259,,y,rw
260,,421,second_side_street
261,,LA,locality
262,,CATALINA,locality
263,,BOYEROS,municipality
264,," , ",rw
265,,CIUDAD,province
266,,DE,province
267,,LA,province
268,,HABANA,province
269,Sentence 17,212,principal_street
270,,/,rw
271,,calle,rw
272,,17,first_side_street
273,,y,rw
274,,calle,rw
275,,417,second_side_street
276,," , ",rw
277,,LA,locality
278,,CATALINA,locality
279,," , ",rw
280,,BOYEROS,municipality
281,," , ",rw
282,,CIUDAD,province
283,,DE,province
284,,LA,province
285,,HABANA,province
286,Sentence 18,calle,rw
287,,212,principal_street
288,,entre,rw
289,,calles,rw
290,,calz,rw
291,,413,first_side_street
292,,y,rw
293,,417,second_side_street
294,," , ",rw
295,,rpt,rw
296,,LA,locality
297,,CATALINA,locality
298,," , ",rw
299,,BOYEROS,municipality
300,," , ",rw
301,,CIUDAD,province
302,,DE,province
303,,LA,province
304,,HABANA,province
305,Sentence 19,212,principal_street
306,,EDF,rw
307,,9D822,building
308,,e\c,rw
309,,13,first_side_street
310,,y,rw
311,,17,second_side_street
312,," , ",rw
313,,LA,locality
314,,CATALINA,locality
315,,BOYEROS,municipality
316,," , ",rw
317,,CIUDAD,province
318,,DE,province
319,,LA,province
320,,HABANA,province
321,Sentence 20,212,principal_street
322,,EDF,rw
323,,779,building
324,,%,rw
325,,calle,rw
326,,13,first_side_street
327,,y,rw
328,,413,second_side_street
329,," , ",rw
330,,reparto,rw
331,,LA,locality
332,,CATALINA,locality
333,," , ",rw
334,,BOYEROS,municipality
335,," , ",rw
336,,CIUDAD,province
337,,DE,province
338,,LA,province
339,,HABANA,province
340,Sentence 21,212,principal_street
341,,%,rw
342,,calle,rw
343,,409,first_side_street
344,,y,rw
345,,czda.,rw
346,,17,second_side_street
347,," , ",rw
348,,LA,locality
349,,CATALINA,locality
350,," , ",rw
351,,BOYEROS,municipality
352,," , ",rw
353,,CIUDAD,province
354,,DE,province
355,,LA,province
356,,HABANA,province
357,Sentence 22,212,principal_street
358,,entre,rw
359,,Ave.,rw
360,,409,first_side_street
361,,y,rw
362,,calz.,rw
363,,413,second_side_street
364,,reparto,rw
365,,LA,locality
366,,CATALINA,locality
367,,BOYEROS,municipality
368,," , ",rw
369,,CIUDAD,province
370,,DE,province
371,,LA,province
372,,HABANA,province
373,Sentence 23,212,principal_street
374,,e,rw
375,,/,rw
376,,calle,rw
377,,263,first_side_street
378,,y,rw
379,,calle,rw
380,,265,second_side_street
381,," , ",rw
382,,MAZORRA,locality
383,," , ",rw
384,,BOYEROS,municipality
385,," , ",rw
386,,CIUDAD,province
387,,DE,province
388,,LA,province
389,,HABANA,province
390,Sentence 24,calle,rw
391,,212,principal_street
392,,Edif.,rw
393,,82343,building
394,,apt.,rw
395,,5B5,apartment
396,,E/,rw
397,,calle,rw
398,,31,first_side_street
399,,y,rw
400,,33,second_side_street
401,," , ",rw
402,,LA,locality
403,,CORONELA,locality
404,," , ",rw
405,,LA,municipality
406,,LISA,municipality
407,," , ",rw
408,,CIUDAD,province
409,,DE,province
410,,LA,province
411,,HABANA,province
412,Sentence 25,212,principal_street
413,,e/,rw
414,,Ave.,rw
415,,33,first_side_street
416,,&,rw
417,,37,second_side_street
418,,edf,rw
419,,86H4,building
420,,apartamento,rw
421,,7G2,apartment
422,," , ",rw
423,,LA,locality
424,,CORONELA,locality
425,,LA,municipality
426,,LISA,municipality
427,," , ",rw
428,,CIUDAD,province
429,,DE,province
430,,LA,province
431,,HABANA,province
432,Sentence 26,212,principal_street
433,,etr.,rw
434,,31,first_side_street
435,,&%,rw
436,,37,second_side_street
437,,reparto,rw
438,,LA,locality
439,,CORONELA,locality
440,,LA,municipality
441,,LISA,municipality
442,," , ",rw
443,,CIUDAD,province
444,,DE,province
445,,LA,province
446,,HABANA,province
447,Sentence 27,212,principal_street
448,,e,rw
449,,/,rw
450,,51,first_side_street
451,,y,rw
452,,55,second_side_street
453,," , ",rw
454,,LA,locality
455,,CORONELA,locality
456,," , ",rw
457,,LA,municipality
458,,LISA,municipality
459,," , ",rw
460,,CIUDAD,province
461,,DE,province
462,,LA,province
463,,HABANA,province
464,Sentence 28,212,principal_street
465,,EDIFICIO,rw
466,,721H0,building
467,,E\,rw
468,,55,first_side_street
469,,y,rw
470,,57,second_side_street
471,," , ",rw
472,,SAN,locality
473,,RAFAEL,locality
474,," , ",rw
475,,LA,municipality
476,,LISA,municipality
477,," , ",rw
478,,CIUDAD,province
479,,DE,province
480,,LA,province
481,,HABANA,province
482,Sentence 29,212,principal_street
483,,e\c,rw
484,,57,first_side_street
485,,y,rw
486,,59,second_side_street
487,," , ",rw
488,,SAN,locality
489,,RAFAEL,locality
490,," , ",rw
491,,municipio,rw
492,,LA,municipality
493,,LISA,municipality
494,," , ",rw
495,,CIUDAD,province
496,,DE,province
497,,LA,province
498,,HABANA,province
499,Sentence 30,212,principal_street
500,,E/,rw
501,,91,first_side_street
502,,y,rw
503,,97,second_side_street
504,," , ",rw
505,,NOVOA,locality
506,," , ",rw
507,,LA,municipality
508,,LISA,municipality
509,," , ",rw
510,,CIUDAD,province
511,,DE,province
512,,LA,province
513,,HABANA,province
514,Sentence 31,212,principal_street
515,,num,rw
516,,131,building
517,,ap,rw
518,,39N,apartment
519,,entre,rw
520,,101,first_side_street
521,,y,rw
522,,97,second_side_street
523,,NOVOA,locality
524,," , ",rw
525,,LA,municipality
526,,LISA,municipality
527,," , ",rw
528,,CIUDAD,province
529,,DE,province
530,,LA,province
531,,HABANA,province
532,Sentence 32,212,principal_street
533,,edf.,rw
534,,6199,building
535,,apartamento,rw
536,,#,rw
537,,35C,apartment
538,,e\c,rw
539,,37,first_side_street
540,,A,first_side_street
541,,y,rw
542,,39,second_side_street
543,,LA,locality
544,,CORONELA,locality
545,,LA,municipality
546,,LISA,municipality
547,," , ",rw
548,,CIUDAD,province
549,,DE,province
550,,LA,province
551,,HABANA,province
552,Sentence 33,1RA,principal_street
553,,Ave.,rw
554,,E\,rw
555,,calzada,rw
556,,NUEVA,first_side_street
557,,y,rw
558,,ARANGUREN,second_side_street
559,," , ",rw
560,,BARRIO,locality
561,,AZUL,locality
562,,ARROYO,municipality
563,,NARANJO,municipality
564,," , ",rw
565,,CIUDAD,province
566,,DE,province
567,,LA,province
568,,HABANA,province
569,Sentence 34,1RA,principal_street
570,,Calzada,rw
571,,ed,rw
572,,417,building
573,,apart.,rw
574,,16,apartment
575,,\,rw
576,,calz.,rw
577,,MACEO,first_side_street
578,,y,rw
579,,pasaje,rw
580,,CESPEDES,second_side_street
581,," , ",rw
582,,rpt,rw
583,,POEY,locality
584,," , ",rw
585,,ARROYO,municipality
586,,NARANJO,municipality
587,," , ",rw
588,,CIUDAD,province
589,,DE,province
590,,LA,province
591,,HABANA,province
592,Sentence 35,1RA,principal_street
593,,ave,rw
594,,e\c,rw
595,,NUEVA,first_side_street
596,,y,rw
597,,JACKSON,second_side_street
598,,EDIFICIO,rw
599,,6012D1,building
600,,aptto,rw
601,,67,apartment
602,," , ",rw
603,,localidad,rw
604,,BARRIO,locality
605,,AZUL,locality
606,," , ",rw
607,,ARROYO,municipality
608,,NARAJO,municipality
609,," , ",rw
610,,CIUDAD,province
611,,DE,province
612,,LA,province
613,,HABANA,province
614,Sentence 36,1RA,principal_street
615,,entre,rw
616,,Carr.,rw
617,,E,first_side_street
618,,y,rw
619,,RIVERA,second_side_street
620,," , ",rw
621,,POEY,locality
622,,ARROYO,municipality
623,,NARANJO,municipality
624,,CIUDAD,province
625,,DE,province
626,,LA,province
627,,HABANA,province
628,Sentence 37,1RA,principal_street
629,,ave.,rw
630,,entre,rw
631,,B,first_side_street
632,,y,rw
633,,ARANGUREN,second_side_street
634,," , ",rw
635,,BARRIO,locality
636,,AZUL,locality
637,," , ",rw
638,,Mno.,rw
639,,ARROYO,municipality
640,,NARANJO,municipality
641,," , ",rw
642,,CIUDAD,province
643,,DE,province
644,,LA,province
645,,HABANA,province
646,Sentence 38,1RAA,principal_street
647,,caz,rw
648,,entre,rw
649,,calle,rw
650,,F,first_side_street
651,,y,rw
652,,AVENIDA,second_side_street
653,,DE,second_side_street
654,,LOS,second_side_street
655,,APOSTOLES,second_side_street
656,," , ",rw
657,,POEY,locality
658,," , ",rw
659,,ARROYO,municipality
660,,NARANJO,municipality
661,," , ",rw
662,,CIUDAD,province
663,,DE,province
664,,LA,province
665,,HABANA,province
666,Sentence 39,1RA,principal_street
667,,Ave,rw
668,,entre,rw
669,,ave.,rw
670,,RIVERA,first_side_street
671,,y,rw
672,,CESPEDES,second_side_street
673,,Edifi,rw
674,,no,rw
675,,F10604,building
676,,apart.,rw
677,,46,apartment
678,," , ",rw
679,,POEY,locality
680,,ARROYO,municipality
681,,NARANJO,municipality
682,," , ",rw
683,,CIUDAD,province
684,,DE,province
685,,LA,province
686,,HABANA,province
687,Sentence 40,1RA,principal_street
688,,ctra,rw
689,,EDIF.,rw
690,,84703,building
691,,apart.,rw
692,,5M6,apartment
693,,e\c,rw
694,,POCITO,first_side_street
695,,y,rw
696,,calle,rw
697,,ESPERANZA,second_side_street
698,," , ",rw
699,,FRANK,locality
700,,PAIS,locality
701,," , ",rw
702,,ARROYYO,municipality
703,,NARANJO,municipality
704,,CIUDAD,province
705,,DE,province
706,,LA,province
707,,HABANA,province
708,Sentence 41,1RA,principal_street
709,,Ave,rw
710,,edi,rw
711,,H,building
712,,/,rw
713,,C,first_side_street
714,,y,rw
715,,Ave.,rw
716,,D,second_side_street
717,," , ",rw
718,,EL,locality
719,,ROSARIO,locality
720,," , ",rw
721,,ARROYO,municipality
722,,NARANJO,municipality
723,," , ",rw
724,,CIUDAD,province
725,,DE,province
726,,LA,province
727,,HABANA,province
728,Sentence 42,1RA,principal_street
729,,Ave,rw
730,,ent.,rw
731,,calle,rw
732,,2,first_side_street
733,,A,first_side_street
734,,y,rw
735,,pasaje,rw
736,,2,second_side_street
737,," , ",rw
738,,localidad,rw
739,,VOLPE,locality
740,," , ",rw
741,,MUNICIPIO,rw
742,,ARROYO,municipality
743,,NARANJO,municipality
744,," , ",rw
745,,CIUDAD,province
746,,DE,province
747,,LA,province
748,,HABANA,province
749,Sentence 43,1RA,principal_street
750,,c@lzada,rw
751,,ent.,rw
752,,2,first_side_street
753,,A,first_side_street
754,,y,rw
755,,2DA,second_side_street
756,,Calzada,rw
757,,reparto,rw
758,,VOLPE,locality
759,," , ",rw
760,,ARROYO,municipality
761,,NARANJO,municipality
762,," , ",rw
763,,CIUDAD,province
764,,DE,province
765,,LA,province
766,,HABNA,province
767,Sentence 44,24,principal_street
768,,Edificio,rw
769,,número,rw
770,,7516,building
771,,apto.,rw
772,,9@,apartment
773,,entre,rw
774,,calle,rw
775,,19,first_side_street
776,,y,rw
777,,17,second_side_street
778,," , ",rw
779,,localidad,rw
780,,LOS,locality
781,,PALOS,locality
782,," , ",rw
783,,NUEVA,municipality
784,,PAZ,municipality
785,," , ",rw
786,,LA,province
787,,HABANA,province
788,Sentence 45,24,principal_street
789,,ed,rw
790,,no,rw
791,,H3114,building
792,,apto.,rw
793,,72,apartment
794,,entre,rw
795,,19,first_side_street
796,,y,rw
797,,LA,second_side_street
798,,PAZ,second_side_street
799,,localidad,rw
800,,LOS,locality
801,,PALOS,locality
802,," , ",rw
803,,NUEVA,municipality
804,,PAZ,municipality
805,,LA,province
806,,HABANA,province
807,Sentence 46,ctra,rw
808,,24,principal_street
809,,edf.,rw
810,,H,building
811,,aptto,rw
812,,2K5,apartment
813,,\,rw
814,,calle,rw
815,,19,first_side_street
816,,y,rw
817,,avenida,rw
818,,21,second_side_street
819,," , ",rw
820,,localidad,rw
821,,LOS,locality
822,,PALOS,locality
823,,NUEVA,municipality
824,,PAZ,municipality
825,," , ",rw
826,,LA,province
827,,HABANA,province
828,Sentence 47,24,principal_street
829,,edf,rw
830,,112D6,building
831,,/,rw
832,,11,first_side_street
833,,y,rw
834,,avenida,rw
835,,13,second_side_street
836,,LOS,locality
837,,PALOS,locality
838,," , ",rw
839,,NUEVA,municipality
840,,PAZ,municipality
841,," , ",rw
842,,LA,province
843,,HABANA,province
844,Sentence 48,Ae,rw
845,,24,principal_street
846,,edf.,rw
847,,4A3,building
848,,%,rw
849,,Ave.,rw
850,,13,first_side_street
851,,y,rw
852,,15,second_side_street
853,," , ",rw
854,,ciuda,rw
855,,LOS,locality
856,,PALOS,locality
857,,NUEVA,municipality
858,,PAZ,municipality
859,,LA,province
860,,HABANA,province
861,Sentence 49,24,principal_street
862,,entre,rw
863,,calles,rw
864,,17,first_side_street
865,,A,first_side_street
866,,y,rw
867,,calle,rw
868,,15,second_side_street
869,," , ",rw
870,,rpt,rw
871,,LOS,locality
872,,PALOS,locality
873,,NUEVA,municipality
874,,PAZ,municipality
875,," , ",rw
876,,LA,province
877,,HABANA,province
878,Sentence 50,calle,rw
879,,24,principal_street
880,,e/c,rw
881,,17,first_side_street
882,,A,first_side_street
883,,y,rw
884,,pasaje,rw
885,,17,second_side_street
886,,Edif.,rw
887,,4G7,building
888,,apto.,rw
889,,26,apartment
890,," , ",rw
891,,reparto,rw
892,,LOS,locality
893,,PALOS,locality
894,," , ",rw
895,,NUEVA,municipality
896,,PAZ,municipality
897,," , ",rw
898,,LA,province
899,,HABANA,province
900,Sentence 51,Ave.,rw
901,,24,principal_street
902,,entre,rw
903,,MANUEL,first_side_street
904,,HERNANDEZ,first_side_street
905,,y,rw
906,,Ctra,rw
907,,L@,second_side_street
908,,PAZ,second_side_street
909,,LOS,locality
910,,PALOS,locality
911,," , ",rw
912,,NUEVA,municipality
913,,PAZ,municipality
914,," , ",rw
915,,LA,province
916,,HABANA,province
917,Sentence 52,Ave.,rw
918,,24,principal_street
919,,EDIF.,rw
920,,2C7692,building
921,,/,rw
922,,MANUEL,first_side_street
923,,HERNANDEZ,first_side_street
924,,y,rw
925,,calz,rw
926,,21,second_side_street
927,," , ",rw
928,,LOS,locality
929,,PALOS,locality
930,," , ",rw
931,,NUEVA,municipality
932,,PAZ,municipality
933,," , ",rw
934,,LA,province
935,,HABANA,province
936,Sentence 53,avenida,rw
937,,24,principal_street
938,,Edificio,rw
939,,B84,building
940,,apto.,rw
941,,nu,rw
942,,4B1,apartment
943,,entre,rw
944,,czda.,rw
945,,23,first_side_street
946,,y,rw
947,,calle,rw
948,,LA,second_side_street
949,,PAZ,second_side_street
950,," , ",rw
951,,LOS,locality
952,,PALOS,locality
953,," , ",rw
954,,NUEVA,municipality
955,,PAZ,municipality
956,,LA,province
957,,HABANA,province
958,Sentence 54,Carr,rw
959,,24,principal_street
960,,entre,rw
961,,23,first_side_street
962,,y,rw
963,,calle,rw
964,,21,second_side_street
965,,LOS,locality
966,,PALOS,locality
967,," , ",rw
968,,NUEVA,municipality
969,,PAZ,municipality
970,,LA,province
971,,HABANA,province
972,Sentence 55,1RA,principal_street
973,,Ave,rw
974,,ed,rw
975,,64741,building
976,,apartamento,rw
977,,77L,apartment
978,,entre,rw
979,,I,first_side_street
980,,y,rw
981,,Ave,rw
982,,G,second_side_street
983,,EL,locality
984,,ROSARIO,locality
985,," , ",rw
986,,ARROYO,municipality
987,,NARANJO,municipality
988,," , ",rw
989,,CIUDAD,province
990,,DE,province
991,,LA,province
992,,HABANA,province
993,Sentence 56,1RA,principal_street
994,,ave,rw
995,,Edifi,rw
996,,810D95,building
997,,etr.,rw
998,,I,first_side_street
999,,y,rw
1000,,calle,rw
1001,,J,second_side_street
1002,,EL,locality
1003,,ROSARIO,locality
1004,," , ",rw
1005,,ARROYO,municipality
1006,,NARANJO,municipality
1007,," , ",rw
1008,,CIUDAD,province
1009,,DE,province
1010,,LA,province
1011,,HABANA,province
1012,Sentence 57,1RA,principal_street
1013,,edificio,rw
1014,,2F0733,building
1015,,apartamento,rw
1016,,1M,apartment
1017,,e,rw
1018,,/,rw
1019,,calzada,rw
1020,,PASEO,first_side_street
1021,,y,rw
1022,,carret,rw
1023,,INDEPENDENCIA,second_side_street
1024,," , ",rw
1025,,localidad,rw
1026,,MANAGUA,locality
1027,,ARROYO,municipality
1028,,NARANJO,municipality
1029,," , ",rw
1030,,CIUDAD,province
1031,,DE,province
1032,,LA,province
1033,,HABANA,province
1034,Sentence 58,1RA,principal_street
1035,,ave.,rw
1036,,Edificio,rw
1037,,999,building
1038,,apart.,rw
1039,,57,apartment
1040,,e\c,rw
1041,,1,first_side_street
1042,,y,rw
1043,,ALTURA,second_side_street
1044,,DEL,second_side_street
1045,,ROSARIO,second_side_street
1046,," , ",rw
1047,,VOLPE,locality
1048,," , ",rw
1049,,ARROYO,municipality
1050,,NARANJO,municipality
1051,," , ",rw
1052,,CIUDAD,province
1053,,DE,province
1054,,LA,province
1055,,HABANA,province
1056,Sentence 59,1RA,principal_street
1057,,ave,rw
1058,,e,rw
1059,,/,rw
1060,,1RA,first_side_street
1061,,czda.,rw
1062,,y,rw
1063,,ALTURA,second_side_street
1064,,DEL,second_side_street
1065,,ROSARIO,second_side_street
1066,," , ",rw
1067,,VOLPE,locality
1068,,ARROYO,municipality
1069,,NARANJO,municipality
1070,," , ",rw
1071,,CIUDAD,province
1072,,DE,province
1073,,LA,province
1074,,HABANA,province
1075,Sentence 60,1RA,principal_street
1076,,Ave,rw
1077,,edi,rw
1078,,nu.,rw
1079,,65273,building
1080,,e/,rw
1081,,1,first_side_street
1082,,y,rw
1083,,2,second_side_street
1084,,reparto,rw
1085,,VOLPE,locality
1086,," , ",rw
1087,,ARROYO,municipality
1088,,NARANJO,municipality
1089,," , ",rw
1090,,CIUDAD,province
1091,,DE,province
1092,,LA,province
1093,,HABANA,province
1094,Sentence 61,1RA,principal_street
1095,,Calzada,rw
1096,,Edif.,rw
1097,,D,building
1098,,ap,rw
1099,,1B0,apartment
1100,,E\,rw
1101,,1,first_side_street
1102,,yy,rw
1103,,2DA,second_side_street
1104,,czda.,rw
1105,," , ",rw
1106,,reparto,rw
1107,,VOLPa,locality
1108,," , ",rw
1109,,ARROYO,municipality
1110,,NARANJO,municipality
1111,," , ",rw
1112,,PROV.,rw
1113,,CIUDAD,province
1114,,DE,province
1115,,LA,province
1116,,HABANA,province
1117,Sentence 62,1RA,principal_street
1118,,Ave.,rw
1119,,%,rw
1120,,1RA,first_side_street
1121,,calzada,rw
1122,,&,rw
1123,,2,second_side_street
1124,,VOLPE,locality
1125,,ARROYO,municipality
1126,,NARANJO,municipality
1127,,CIUDAD,province
1128,,DE,province
1129,,LA,province
1130,,HABANA,province
1131,Sentence 63,1RA,principal_street
1132,,ave.,rw
1133,,EDF,rw
1134,,395,building
1135,,entre,rw
1136,,1RA,first_side_street
1137,,Ave.,rw
1138,,y,rw
1139,,2DA,second_side_street
1140,,Ave,rw
1141,," , ",rw
1142,,VOLPE,locality
1143,," , ",rw
1144,,ARROYO,municipality
1145,,NARANJO,municipality
1146,," , ",rw
1147,,CIUDAD,province
1148,,DE,province
1149,,LA,province
1150,,HABANA,province
1151,Sentence 64,1RA,principal_street
1152,,Ave,rw
1153,,EDF,rw
1154,,D74126,building
1155,,ap,rw
1156,,53D,apartment
1157,,E\,rw
1158,,2,first_side_street
1159,,y,rw
1160,,A,second_side_street
1161,,ARROYO,municipality
1162,,NARANJO,municipality
1163,," , ",rw
1164,,CIUDAD,province
1165,,DE,province
1166,,LA,province
1167,,HABANA,province
1168,Sentence 65,1RA,principal_street
1169,,Carr.,rw
1170,,entre,rw
1171,,2DA,first_side_street
1172,,calle,rw
1173,,y,rw
1174,,calle,rw
1175,,A,second_side_street
1176,,ARROYO,municipality
1177,,NARANJO,municipality
1178,," , ",rw
1179,,CIUDAD,province
1180,,DE,province
1181,,LA,province
1182,,HABANA,province
1183,Sentence 66,1RA,principal_street
1184,,Carr.,rw
1185,,E\,rw
1186,,EL,first_side_street
1187,,ROBLE,first_side_street
1188,,&,rw
1189,,6TA,second_side_street
1190,,Ave.,rw
1191,,ARROYO,municipality
1192,,NARANJO,municipality
1193,," , ",rw
1194,,CIUDAD,province
1195,,DE,province
1196,,LA,province
1197,,HABANA,province
1198,Sentence 67,1RA,principal_street
1199,,carretera,rw
1200,,/,rw
1201,,EL,first_side_street
1202,,ROBLa,first_side_street
1203,,y,rw
1204,,6,second_side_street
1205,," , ",rw
1206,,ARROYO,municipality
1207,,NARANJO,municipality
1208,," , ",rw
1209,,CIUDAD,province
1210,,DDE,province
1211,,LA,province
1212,,H@BANA,province
1213,Sentence 68,1RA,principal_street
1214,,Carr.,rw
1215,,E/,rw
1216,,E,first_side_street
1217,,y,rw
1218,,F,second_side_street
1219,," , ",rw
1220,,poblado,rw
1221,,POEY,locality
1222,," , ",rw
1223,,ARROYO,municipality
1224,,NARANJO,municipality
1225,,CIUDAD,province
1226,,DE,province
1227,,LA,province
1228,,HABANA,province
1229,Sentence 69,1RA,principal_street
1230,,czda.,rw
1231,,E/,rw
1232,,4TA,first_side_street
1233,,calz,rw
1234,,&%,rw
1235,,2DA,second_side_street
1236,,Ave,rw
1237,,HABANA,municipality
1238,,DEL,municipality
1239,,ESTE,municipality
1240,," , ",rw
1241,,CIUDAD,province
1242,,DE,province
1243,,LA,province
1244,,HABANA,province
1245,Sentence 70,1RA,principal_street
1246,,Edificio,rw
1247,,644,building
1248,,entre,rw
1249,,4TA,first_side_street
1250,,calzada,rw
1251,,y,rw
1252,,calle,rw
1253,,2,second_side_street
1254,," , ",rw
1255,,HABANA,municipality
1256,,DEL,municipality
1257,,ESTE,municipality
1258,," , ",rw
1259,,CIUDAD,province
1260,,DE,province
1261,,LA,province
1262,,HABANA,province
1263,Sentence 71,1RA,principal_street
1264,,ave.,rw
1265,,428H3,building
1266,,ap,rw
1267,,18,apartment
1268,,entre,rw
1269,,calles,rw
1270,,4,first_side_street
1271,,y,rw
1272,,2DA,second_side_street
1273,,czda.,rw
1274,,HABANA,municipality
1275,,DEL,municipality
1276,,ESTE,municipality
1277,,CIUDAD,province
1278,,DE,province
1279,,LA,province
1280,,HABANA,province
1281,Sentence 72,1RA,principal_street
1282,,czda.,rw
1283,,entre,rw
1284,,4,first_side_street
1285,,y,rw
1286,,calz.,rw
1287,,2,second_side_street
1288,," , ",rw
1289,,HABANA,municipality
1290,,DEL,municipality
1291,,ESTE,municipality
1292,," , ",rw
1293,,CIUDAD,province
1294,,DE,province
1295,,LA,province
1296,,HABANA,province
